BCN
-114.731,32.716
-114.808,32.484
-114.926,32.482
-115.052,32.245
-114.978,32.180
-114.961,31.919
-114.794,31.829
-114.764,31.623
-114.876,31.121
-114.720,30.935
-114.657,30.176
-113.607,29.258
-113.385,28.943
-112.858,28.457
-112.764,28.004
-114.192,28.002
-114.033,28.440
-115.181,29.420
-115.692,29.738
-115.807,29.945
-116.005,30.351
-116.063,30.789
-116.332,30.952
-116.689,31.562
-116.752,31.756
-117.032,32.252
-117.170,32.537
-114.725,32.718
-114.731,32.716
SON
-114.796,32.486
-111.066,31.344
-108.752,31.333
-108.816,31.239
-108.885,31.238
-108.913,31.201
-108.860,31.217
-108.848,31.195
-108.809,31.192
-108.831,31.167
-108.850,31.135
-108.771,31.100
-108.771,31.078
-108.675,31.004
-108.806,31.000
-108.800,30.901
-108.937,30.909
-108.933,30.829
-108.947,30.738
-108.913,30.739
-108.867,30.698
-108.878,30.626
-108.806,30.594
-108.721,30.593
-108.714,30.567
-108.682,30.565
-108.663,30.523
-108.659,30.467
-108.599,30.465
-108.650,30.416
-108.620,30.376
-108.613,30.342
-108.580,30.336
-108.562,30.309
-108.536,30.286
-108.550,30.261
-108.622,30.300
-108.612,30.100
-108.606,30.029
-108.623,29.954
-108.615,29.885
-108.619,29.880
-108.609,29.845
-108.637,29.832
-108.631,29.804
-108.617,29.800
-108.540,29.797
-108.535,29.737
-108.592,29.728
-108.594,29.718
-108.659,29.715
-108.645,29.691
-108.620,29.661
-108.653,29.649
-108.645,29.592
-108.639,29.557
-108.662,29.543
-108.650,29.507
-108.622,29.498
-108.723,29.466
-108.672,29.308
-108.686,29.272
-108.731,29.270
-108.760,29.250
-108.740,29.242
-108.738,29.204
-108.753,29.199
-108.748,29.163
-108.727,29.170
-108.695,29.133
-108.729,29.095
-108.709,29.082
-108.721,29.066
-108.701,28.937
-108.707,28.893
-108.678,28.865
-108.679,28.855
-108.658,28.812
-108.627,28.812
-108.624,28.800
-108.641,28.765
-108.610,28.745
-108.582,28.740
-108.579,28.633
-108.564,28.611
-108.560,28.591
-108.530,28.556
-108.523,28.504
-108.508,28.508
-108.505,28.493
-108.520,28.457
-108.504,28.454
-108.512,28.440
-108.514,28.426
-108.481,28.368
-108.520,28.366
-108.519,28.331
-108.551,28.317
-108.601,28.348
-108.611,28.333
-108.635,28.335
-108.633,28.292
-108.686,28.302
-108.794,28.253
-108.859,28.258
-108.921,28.256
